wafer_layout,component_sk,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
product,90001838,-14,-3,-5,-1,1,2,-109179.88,-39237.03,90172475,96393850,,5,27,T,3,4
product,90001838,-14,-2,-5,-1,1,3,-109179.88,-32677.57,90172475,96393851,,5,26,T,3,4
product,90001838,-14,-1,-5,-1,1,4,-109179.88,-26118.11,90172475,96393852,,5,25,T,3,4
product,90001838,-14,0,-5,0,1,0,-109179.88,-19558.65,90172476,96393863,,5,24,T,3,5
product,90001838,-14,1,-5,0,1,1,-109179.88,-12999.19,90172476,96393864,,5,23,T,3,5
product,90001838,-14,2,-5,0,1,2,-109179.88,-6439.73,90172476,96393865,,5,22,T,3,5
product,90001838,-14,3,-5,0,1,3,-109179.88,119.73,90172476,96393866,,5,21,T,3,5
product,90001838,-14,4,-5,0,1,4,-109179.88,6679.19,90172476,96393867,,5,20,T,3,5
product,90001838,-14,5,-5,1,1,0,-109179.88,13238.65,90172477,96393878,,5,19,T,3,6
product,90001838,-14,6,-5,1,1,1,-109179.88,19798.11,90172477,96393879,,5,18,T,3,6
product,90001838,-14,7,-5,1,1,2,-109179.88,26357.57,90172477,96393880,,5,17,T,3,6
product,90001838,-14,8,-5,1,1,3,-109179.88,32917.03,90172477,96393881,,5,16,T,3,6
product,90001838,-14,9,-5,1,1,4,-109179.88,39476.49,90172477,96393882,,5,15,T,3,6
product,90001838,-14,10,-5,2,1,0,-109179.88,46035.95,90172478,96393893,,5,14,T,3,7
product,90001838,-14,11,-5,2,1,1,-109179.88,52595.41,90172478,96393894,,5,13,T,3,7
product,90001838,-14,12,-5,2,1,2,-109179.88,59154.87,90172478,96393895,,5,12,T,3,7
product,90001838,-14,13,-5,2,1,3,-109179.88,65714.33,90172478,96393896,,5,11,T,3,7
